2012,2.807355
2012,2.503258
2012,2.947703
2012,3
2012,2.807355
2012,2.251629
2012,2.855389
2012,2.521641
2012,2.646439
2012,3.189898
2012,2.846439
2012,2.947703
2012,3.418296
2012,3.277613
2012,2.521641
2012,2.725481
2012,3.238901
2012,3.169925
2012,2.725481
2012,2.584963
2012,2.807355
2012,2.5
2012,3.121928
2012,2.251629
2012,3.235926
2012,2.235926
2012,2.75
2012,2.947703
2012,2.947703
2012,2.725481
2012,2.947703
2012,3.392747
2012,3.584963
2012,2.521641
2012,2.807355
2012,2.521641
2012,2.235926
2012,2.725481
2012,3.546594
2012,2.721928
2012,2.584963
2012,2.921928
2012,2.251629
2012,3.121928
2012,3.392747
2012,2.235926
2012,2.921928
2012,2.846439
2012,2.725481
2012,3.277613
2012,2.947703
2012,3
2012,2.921928
2012,3.277613
2012,3.084963
2012,2.521641
2012,3.169925
2012,2.807355
2012,2.521641
2012,2.251629
2012,2.807355
2012,1.584963
2012,2.5
2012,1.521928
2012,2.584963
2012,2.584963
2012,3.093069
2012,3
2012,3.378783
2012,2.947703
2012,2.807355
2012,2.921928
2012,2.75
2012,2.792481
2012,2.521641
2012,2.584963
2012,2.918296
2012,3.121928
2012,2.584963
2012,2.004886
2012,2.725481
2012,2.251629
2012,2.584963
2012,2.405639
2012,3.169925
2012,2.251629
2012,2.5
2012,3.251629
2012,2.521641
2012,2.521641
2012,2.128085
2012,2.725481
2012,2.807355
2012,3.085055
2012,2.646439
2012,3.277613
2012,2.807355
2012,1.950212
2012,2.446439
2012,3
2012,1.842371
2012,2.246439
2012,3.121928
2012,2.75
2012,2.251629
2012,2.947703
2012,2.584963
2012,2.947703
2012,3.169925
2012,2.251629
2012,3.095795
2012,3.169925
2012,2.128085
2012,3
2012,2.251629
2012,2.947703
2012,2.521641
2012,2.646439
2012,2.807355
2012,2.251629
2012,2.5
2012,1.918296
2012,3.277613
2012,2.75
2012,2.235926
2012,1.921928
2012,2.75
2012,2.913977
2012,1.918296
2012,3.121928
2012,2.845351
2012,2.128085
2012,3.251629
2012,2.584963
2012,3.084963
2012,3.321928
2012,3.238901
2012,2.807355
2012,3.321928
2012,2.5
2012,2.584963
2012,2.5
2012,2.725481
2012,2.845351
2012,2.725481
2012,2.128085
2012,2.807355
2012,2.251629
2012,2.807355
2012,2.947703
2012,2.807355
2012,2.584963
2012,2.521641
2012,2.950212
2012,2.503258
2012,2.584963
2012,2.5
2012,2.75
2012,2.807355
2012,2.807355
2012,2.5
2012,2.5
2012,2.5
2012,3.121928
2012,2.521641
2012,2.75
2012,3.095795
2012,2.75
2012,2.584963
2012,2.503258
2012,3.095795
2012,2.807355
2012,2.113283
2012,2.725481
2012,2.584963
2012,3
2012,3.238901
2012,2.921928
2012,2.947703
2012,3.169925
2012,2.584963
2012,2.75
2012,2.584963
2012,3.022055
2012,3.095795
2012,3.121928
2012,3.182006
2012,3.277613
2012,2.807355
2012,3
2012,3.392747
2012,3.169925
2012,1.521928
2012,2.584963
2012,2.584963
2012,2.321928
2012,3.084963
2012,2.641604
2012,2.75
2012,1.921928
2012,2.368523
2012,2.251629
2012,2.155639
2012,2.807355
2012,3.418296
2012,3
2012,2.641604
2012,2.521641
2012,2.807355
2012,2.807355
2012,2.446439
2012,2.235926
2012,1.792481
2012,3.056565
2012,1.918296
2012,2.947703
2012,2.646439
2012,2.459148
2012,2.846439
2012,3.235926
2012,3.095795
2012,3.026987
2012,2.521641
2012,2.235926
2012,2.521641
2012,2.235926
2012,2.807355
2012,3.321928
2012,1.921928
2012,3.169925
2012,2.807355
2012,2.845351
2012,2.503258
2012,3.238901
2012,2.78845
2012,2.521641
2012,2.918296
